Company ,Employer/Aggregator,Priority,Checked,JBoard,Job Listing (1) ,Job Listing (2) ,Status,Issue,Search term alt protein,Additional data / notes,Company's general website,,
Aqua Cultured Foods,Aggregator,13,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11726,https://www.linkedin.com/jobs/search/?currentJobId=3737484908&f_C=68687431&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3737484908,,No jobs,,https://altproteincareers.com/jobs?q=aqua&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.aquaculturedfoods.com/,,
Lechia Organic,Aggregator,14,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7601,https://www.linkedin.com/jobs/search/?currentJobId=3629068626&f_C=72148267&geoId=92000000&originToLandingJobPostings=3629068626,,No jobs,,https://altproteincareers.com/jobs?q=lechia&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/lechia,https://lechia.co/pages/about-us,
Frieda's Branded Produce,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7419,https://www.linkedin.com/jobs/search/?currentJobId=3626727085&f_C=674941&geoId=92000000&originToLandingJobPostings=3626727085%2C3629908735,LinkedIn job listing link does not seem to work,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=frieda&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/friedasproduce,https://www.friedas.com/careers/,
Forager Project,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7147,https://www.linkedin.com/jobs/search/?currentJobId=3620817600&f_C=3263440&geoId=92000000&originToLandingJobPostings=3620817600%2C3532858967,,JBoard showing expired jobs,JBoard has 5 jobs listed but only 1 active job on LinkedIn,https://altproteincareers.com/jobs?q=forager&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/forager-project,https://www.foragerproject.com/,
Finless Foods,Aggregator,15,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7145,https://www.linkedin.com/jobs/search/?currentJobId=3616679250&f_C=18028160&geoId=92000000&originToLandingJobPostings=3616679250,LinkedIn job listing link does not seem to work,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=finless&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/finlessfoods,https://finlessfoods.com/careers/,
"Eat Just, Inc.",Aggregator,16,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7368,https://www.linkedin.com/jobs/search/?currentJobId=3631023555&f_C=18439980&geoId=92000000&originToLandingJobPostings=3631023555,,Works,,https://altproteincareers.com/jobs?q=eat+just&category=&posted_at=&location=&location_id=3&search_radius=,Should also add GOOD Meat as separate aggregator,https://www.linkedin.com/company/eat-just,https://www.ju.st/careers,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=C36AE705594F59D987E37A06068FEC02&session_nonce=392e0df40776381b602279806de0ab11
Hooray Foods,Employer,,,,,,,,,,,,
Change Foods,Employer,,,,,,,,,,,,
Mozza,Employer,,,,,,,,,,,,
North Carolina Agricultural & Technical State University,Employer,,,,,,,,,,,,
